folder,documents,datasets,zim,other,total
emergency,37,0,0,0,37
emergency/agriculture,3,0,0,0,3
emergency/bushcraft,1,0,0,0,1
emergency/civil_defense,10,0,0,0,10
emergency/civil_defense/cbrn,3,0,0,0,3
emergency/civil_defense/nuclear,4,0,0,0,4
emergency/civil_defense/radiological,1,0,0,0,1
emergency/communications,4,0,0,0,4
emergency/disaster_response,2,0,0,0,2
emergency/food,1,0,0,0,1
emergency/survival,9,0,0,0,9
emergency/water,1,0,0,0,1
emergency/wilderness,6,0,0,0,6
engineering,3,0,0,0,3
engineering/electronics,2,0,0,0,2
engineering/mechanical,1,0,0,0,1
geography,3273,35964,0,9795,49032
geography/geodata,3271,35964,0,9795,49030
geography/geodata/elevation,3270,35958,0,9795,49023
geography/geodata/elevation/usa,3270,35958,0,9795,49023
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W075_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W076_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W077_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W078_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W079_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W080_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W081_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W082_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W083_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W098_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W099_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W100_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W101_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W102_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W103_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W104_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W105_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W107_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W108_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W109_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W110_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W111_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W112_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W113_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W116_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W168_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N24_00_W169_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N25_00_W077_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N25_00_W078_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N25_00_W079_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N25_00_W080_00_DEM,1,11,0,3,15
geography/geodata/elevation/usa/Copernicus_DSM_COG_30_N25_00_W081_00_DEM,1,11,0,3,15
